LON,LAT,resource_t,org_name,address,contact_na,contact_ti,phone,email,optional_r
-83.9955872,37.6996412,Shared Equipment,Estill County Conservation District,"1505 Richmond Rd, Irvine, Kentucky 40336",Crystal Renfro,Office Staff,(606) 723-5104,ECCD@outlook.com,No-Till Seed Drill
-85.3009084,37.1136651,Shared Equipment,Adair County Conservation District,"965 Campbellsville Rd, Columbia, KY, 42728",Steven Olt,Field Representative,(270) 384-6628,steven.olt@ky.gov,No-Till Seed Drill
-85.9311333,37.0103709,Shared Equipment,Barren County Conservation District,"207 Ymca Way, Glasgow, KY, 42141",District Office,Office Staff,(270) 629-6811,barrenconservation@gmail.com,Hay Wrapper
-84.0682546,38.6815963,Shared Equipment,Bracken County Conservation District,"218 Frankfort Street, PO Box 35, Brooksville, KY 41004",Pam Williams,Field Representative,(606) 735-3256,pam.williams@ky.gov,In-line Bale Wrapper
-84.0441818,38.6717577,Shared Equipment,Bracken County Agriculture Advancement Council,"1120 Brooksville-Germantown Rd, Brooksville, KY 41004",David Appelman,Extension Agent,(606) 735-2141,dappelma@uky.edu,Lime Spreader
-85.1572089,38.6852316,Shared Equipment,Carroll  County Conservation District,"1802 Highland Avenue, Carrollton, KY 41008",Sheila Banks,Administrative Secretary,(502) 732-6098,sheila.banks@ky.nacdnet.net,No-Till Seed Drill
-82.9365849,38.3306122,Shared Equipment,Carter County Soil Conservation District,"526 E. Main Street, Grayson, KY 41143",Melodie Bush,Administrative Secretary,(606) 474-5184,melodie.bush@ky.nacdnet.net,"No-Till Seed Drill, Lime Spreader"
-84.1839117,38.0130263,Shared Equipment,Clark County Soil Conservation District,"667 Tech Drive, Winchest, KY 40391",Angela Embry,Administrative Secretary,(859)-744-2322,angela.embry@ky.nacdnet.net,No-Till Seed Drill
-84.8186283,38.216193,Shared Equipment,Franklin County Conservation District,"103 Lakeview Court, Frankfort, KY 40601ï¾ ",Eric Phillips,Conservation Technician,(502) 352-2701,ephillipsfccd@hotmail.com,"No-Till Seed Drill, Weed Wiper/Sprayer"
-88.621661,36.7252333,Shared Equipment,Graves County Conservation District,"1000 Commonwealth Dr, Mayfield, KY 42066",Erica Marshall,Administrative Secretary,(270) 247-9529,Erica.marshall@ky.nacdnet.net,No-Till Seed Drill
-87.5077601,37.3446983,Shared Equipment,Hopkins County Farm Bureau,"585 Nebo Rd, Madisonville, KY 42431",Curtis Dame,Extension Agent,(270) 821-3650,curtis.dame@uky.edu,Sprayer
-83.9993703,37.3146914,Shared Equipment,Jackson County Cattlemen's Association,"2883 Highway 30 W, Annville, KY 40402",David Coffey,Extension Agent,(606) 287-7693,david.coffey@uky.edu,"Weed Wiper, Sprayer, Lime Spreader"
-85.7461948,37.5733556,Shared Equipment,La Rue County Conservation District,"306 West Main Street, Hodgenville, KY 42748",Paula McDowell-Wood,Office Staff,(270) 358-3132,larueccd@hotmail.com,No-Till Seed Drill
-84.0794505,37.1196606,Shared Equipment,Laurel County Cattlemen's Association,"200 County Extension Rd, London, KY 40741",Glenn Williams,Extension Agent,(606) 864-4167,dl_ces_laurel@email.uky.edu,Manure Spreader
-86.8991433,36.8443041,Shared Equipment,Logan County Conservation District,"253 Hopkinsville Rd # C, Russellville, KY 42276",Leann Martin,Extension Agent,(270) 726-6323,leann.martin@uky.edu,"No-Till Seed Drill, Vegetable Transplanter"
-84.2739742,37.7011838,Shared Equipment,Madison County Farm Bureau,"230 Duncannon Lane, Richmond, KY 40476-0270",Brandon Sears,Extension Agent,(859) 623-4072,brandon.sears@uky.edu,"No-Till Seed Drill, Manure Spreader"
-85.2628032,37.5544024,Shared Equipment,Marion County Conservation District,"682 Metts Drive, Lebanon, KY 40033",Natalie Browning,Administrative Secretary,(270) 692-3341,natalie.browning@ky.nacdnet.net,"Sprayer, Lime Spreader, Thistle Sprayer"
-83.6513099,37.9556026,Shared Equipment,Menifee County Conservation District,"2093 Highway 460 W, Frenchburg, KY 40322",April Smith,Office Staff,(606) 768-2541,april.smith@ky.nacdnet.net,No-Till Seed Drill
-84.8502879,37.7759757,Shared Equipment,Mercer County Conservation District,"227 Morris Drive, Harrodsburg, KY 40330",Linda Lake,Administrative Secretary,(859) 734-6889,linda.lake2@ky.nacdnet.net,No-Till Seed Drill
-85.6068251,36.9753005,Shared Equipment,Metcalfe County Conservation District,"100 Scott Drive, Edmonton, KY 42129",Peggy Bridges,Office Staff,(270) 432-3191,metcocd@gmail.com,"No-Till Seed Drill, Plastic Layer"
-85.6869749,36.7098238,Shared Equipment,Monroe County Conservation District,"201 West Paige Street, Thompkinsville, KY 42167",Jarad Bartley,Conservation Technician,(270) 487-6589,Jarad.bartley@ky.nacdnet.net,"No-Till Seed Drill, Thistle Sprayer"
-84.026119,38.3115686,Shared Equipment,Nicholas County Conservation District,"368 East Main Street, Carlisle, KY 40311",Erica Brierly,Administrative Secretary,(859) 289-5165,nicholasconservation@hotmail.com,"No-Till Seed Drill, Chain Harrow"
-84.3202926,38.6552253,Shared Equipment,Pendleton County Beef Cattle Association,"45 David Pribble Dr, Falmouth, KY 41040",Lindie Huffman,Extension Agent,(859) 654-3395,lindie.huffman@uky.edu,Lime Spreader
-84.6535718,37.1022041,Shared Equipment,Pulaski County Conservation District,"28 Parkway Drive, Somerset, KY 42503",Beth Wilson,Extension Agent,(606) 679-6361,beth.wilson@uky.edu,"No-Till Seed Drill, Roller Crimper, Post Driver, Sprayer"
-85.3524973,37.3276762,Shared Equipment,Taylor County Conservation District,"1105 S. Columbia Avenue Suite B, Campbellsville, KY 42718",Linda Russell,Administrative Secretary,(270) 465-4651,Linda.russell@ky.nacdnet.net,No-Till Seed Drill
-86.259011,36.901737,Shared Equipment,Warren County Cattle Producers Association,"1238 Claypool Alvaton Road, Bowling Green, KY 42103",Shane Wahl,Director,(270) 779-6078,dl_ces_warren@email.uky.ed,"Chain Harrow, Sprayer"
